이닝,스코어 상황,O 카운트,B 카운트,S 카운트,키,몸무게,키구간,몸무게구간,주력,투수 손,도루 성공 여부
3,+1,3,1,0,181.0,71.0,180–184,70–79,0.8,1,1
5,+3,3,0,0,184.0,98.0,180–184,90–99,2.4,1,0
6,+2,0,1,0,175.0,68.0,175–179,<70,2.6,0,1
2,+0,2,0,2,178.0,93.0,175–179,90–99,2.5,1,0
7,+2,1,0,0,172.0,76.0,170–174,70–79,9.1,0,0
8,+2,0,0,2,176.0,75.0,175–179,70–79,8.0,0,0
7,+2,1,1,1,171.0,67.0,170–174,<70,6.2,0,0
6,+3,2,3,0,187.0,87.0,185+,80–89,7.2,0,1
4,+1,0,1,1,179.0,85.0,175–179,80–89,4.5,0,1
4,+1,2,0,1,185.0,83.0,185+,80–89,8.0,0,1
8,+3,2,2,0,185.0,80.0,185+,80–89,7.8,1,1
8,+3,2,1,2,181.0,83.0,180–184,80–89,7.8,1,1
5,-6,1,2,1,171.0,67.0,170–174,<70,6.2,0,0
7,+6,0,2,0,175.0,68.0,175–179,<70,4.8,0,0
1,-1,0,1,0,177.0,80.0,175–179,80–89,7.0,0,1
7,+6,1,1,2,174.0,65.0,170–174,<70,5.1,0,0
1,-1,1,3,2,165.0,68.0,<170,<70,7.4,0,1
7,+1,1,3,2,178.0,94.0,175–179,90–99,1.5,0,1
8,+1,1,0,2,180.0,73.0,180–184,70–79,5.8,0,1
7,+1,1,2,2,180.0,75.0,180–184,70–79,6.6,0,1
5,+2,1,1,2,185.0,93.0,185+,90–99,,1,1
7,+3,3,2,2,185.0,105.0,185+,100+,4.9,0,1
1,+0,1,3,2,178.0,72.0,175–179,70–79,5.5,1,0
2,+2,2,3,2,176.0,75.0,175–179,70–79,8.0,0,0
7,+4,2,1,0,181.0,76.0,180–184,70–79,5.1,0,1
1,+0,2,0,2,185.0,88.0,185+,80–89,6.4,0,1
7,-2,1,0,2,178.0,82.0,175–179,80–89,6.0,1,0
3,+2,2,1,0,181.0,71.0,180–184,70–79,0.8,1,1
7,+0,1,1,0,189.0,102.0,185+,100+,2.0,1,0
4,+1,2,0,1,184.0,89.0,180–184,80–89,5.5,1,1
6,+3,2,0,1,180.0,80.0,180–184,80–89,6.2,0,1
6,+4,2,1,0,163.0,62.0,<170,<70,7.7,0,1
6,+5,2,1,0,172.0,76.0,170–174,70–79,9.1,0,1
1,+0,0,2,1,175.0,70.0,175–179,70–79,6.6,1,1
3,+1,0,2,2,178.0,73.0,175–179,70–79,7.0,0,1
5,+1,0,1,1,175.0,70.0,175–179,70–79,6.6,0,1
7,+4,0,1,1,183.0,90.0,180–184,90–99,6.2,0,1
1,+0,3,1,1,183.0,88.0,180–184,80–89,6.2,1,1
1,+2,3,1,0,180.0,94.0,180–184,90–99,5.4,1,1
1,+3,3,0,1,187.0,83.0,185+,80–89,5.2,1,1
1,+0,1,1,1,171.0,67.0,170–174,<70,6.2,0,0
1,+0,2,2,0,165.0,68.0,<170,<70,7.4,0,1
2,+0,1,2,0,185.0,80.0,185+,80–89,3.9,0,1
7,+1,2,2,0,180.0,75.0,180–184,70–79,6.6,0,0
9,+4,2,1,1,174.0,76.0,170–174,70–79,6.1,1,1
2,+0,3,2,2,180.0,80.0,180–184,80–89,6.2,1,1
3,+0,1,2,0,174.0,81.0,170–174,80–89,3.6,1,1
5,+5,1,0,1,189.0,92.0,185+,90–99,4.3,1,1
6,+3,0,2,0,185.0,88.0,185+,80–89,6.4,0,1
4,-2,2,0,1,178.0,73.0,175–179,70–79,7.0,0,1
4,-1,2,2,2,175.0,70.0,175–179,70–79,6.6,0,1
2,+2,3,1,2,189.0,94.0,185+,90–99,4.3,0,1
6,-1,2,1,0,186.0,88.0,185+,80–89,6.1,0,1
1,+0,1,0,0,176.0,70.0,175–179,70–79,7.1,0,1
1,+0,0,1,2,174.0,82.0,170–174,80–89,4.7,0,1
3,+2,1,1,1,185.0,80.0,185+,80–89,7.8,0,0
4,+1,1,3,2,174.0,84.0,170–174,80–89,2.9,0,0
1,+0,0,3,1,183.0,90.0,180–184,90–99,6.2,0,1
5,+0,2,1,1,175.0,70.0,175–179,70–79,6.6,0,0
8,+1,1,1,1,180.0,73.0,180–184,70–79,5.8,0,0
1,+0,2,1,0,181.0,71.0,180–184,70–79,0.8,1,0
1,+0,0,2,0,178.0,82.0,175–179,80–89,6.0,0,1
3,+3,0,3,2,185.0,94.0,185+,90–99,2.6,0,1
5,+3,2,0,1,177.0,88.0,175–179,80–89,3.2,0,1
6,+3,2,0,1,186.0,88.0,185+,80–89,6.1,0,1
1,+0,0,3,1,163.0,64.0,<170,<70,7.0,0,1
2,+3,2,3,2,189.0,92.0,185+,90–99,4.3,0,1
1,+0,2,1,1,185.0,88.0,185+,80–89,6.4,0,0
6,+5,2,2,1,174.0,65.0,170–174,<70,5.1,0,0
7,+1,1,3,2,185.0,83.0,185+,80–89,8.0,1,0
9,+0,0,0,1,182.0,88.0,180–184,80–89,,0,1
3,-2,3,3,2,180.0,80.0,180–184,80–89,6.0,0,0
6,+4,2,0,1,180.0,94.0,180–184,90–99,5.4,0,1
8,+4,2,1,0,187.0,87.0,185+,80–89,7.2,0,1
1,+0,1,0,2,178.0,82.0,175–179,80–89,6.0,1,1
8,+3,0,2,1,179.0,84.0,175–179,80–89,,0,1
1,+5,3,2,2,184.0,85.0,180–184,80–89,4.4,1,1
8,-3,1,3,2,182.0,91.0,180–184,90–99,7.3,0,1
2,+0,1,0,1,177.0,75.0,175–179,70–79,4.6,1,0
4,+0,2,2,1,180.0,75.0,180–184,70–79,6.6,1,1
5,+1,3,2,0,178.0,92.0,175–179,90–99,2.7,0,1
3,+0,2,0,1,175.0,70.0,175–179,70–79,6.6,0,1
7,+5,2,3,2,185.0,83.0,185+,80–89,5.1,0,0
1,+0,0,3,2,178.0,82.0,175–179,80–89,6.0,0,1
1,+0,1,0,2,186.0,88.0,185+,80–89,6.1,0,1
2,+3,2,2,2,178.0,97.0,175–179,90–99,3.1,0,1
5,+2,2,1,0,174.0,82.0,170–174,80–89,4.7,0,1
2,+2,1,2,1,181.0,75.0,180–184,70–79,3.9,0,0
3,+1,0,0,0,163.0,62.0,<170,<70,7.7,0,1
6,+4,1,1,0,180.0,80.0,180–184,80–89,6.2,0,1
1,+0,2,2,2,180.0,75.0,180–184,70–79,6.6,0,0
4,+4,0,1,1,178.0,88.0,175–179,80–89,6.9,0,1
4,+6,2,1,0,183.0,90.0,180–184,90–99,6.2,0,1
6,+6,2,0,1,175.0,70.0,175–179,70–79,6.6,0,0
1,+0,0,2,0,178.0,82.0,175–179,80–89,6.0,0,1
2,+2,2,2,2,165.0,68.0,<170,<70,7.4,0,1
4,+4,1,3,0,178.0,82.0,175–179,80–89,6.0,0,1
7,+4,0,1,1,178.0,75.0,175–179,70–79,,0,1
2,+0,1,3,1,185.0,80.0,185+,80–89,5.5,0,1
7,+0,1,0,1,177.0,80.0,175–179,80–89,7.0,0,1
7,+0,2,0,1,185.0,90.0,185+,90–99,2.2,0,0
3,-2,1,3,1,178.0,72.0,175–179,70–79,5.5,1,1
9,+1,1,0,2,174.0,76.0,170–174,70–79,6.1,0,1
7,+1,1,3,2,196.0,87.0,185+,80–89,3.3,0,1
8,+3,2,0,1,172.0,76.0,170–174,70–79,9.1,0,1
1,+0,1,1,1,185.0,85.0,185+,80–89,5.3,0,1
4,-1,2,2,1,163.0,64.0,<170,<70,7.0,0,1
4,+1,3,2,2,163.0,62.0,<170,<70,7.7,0,1
6,-3,0,0,2,185.0,83.0,185+,80–89,8.0,1,1
6,+2,0,3,0,163.0,62.0,<170,<70,7.7,0,1
7,-2,1,3,2,181.0,73.0,180–184,70–79,3.7,0,1
1,+0,2,2,0,180.0,82.0,180–184,80–89,4.3,0,1
6,-3,1,3,2,196.0,87.0,185+,80–89,3.3,1,1
1,+0,1,2,1,163.0,62.0,<170,<70,7.7,0,1
2,+3,1,1,1,163.0,64.0,<170,<70,7.0,0,1
4,+2,0,0,1,181.0,75.0,180–184,70–79,3.9,1,1
6,+3,1,1,0,163.0,62.0,<170,<70,7.7,0,1
1,+0,0,3,2,165.0,68.0,<170,<70,7.4,1,1
6,+2,2,0,1,185.0,105.0,185+,100+,4.9,1,1
9,-1,1,0,1,174.0,76.0,170–174,70–79,6.1,0,1
6,+7,1,3,2,183.0,90.0,180–184,90–99,6.2,0,1
5,-3,2,2,1,185.0,83.0,185+,80–89,8.0,0,1
6,+2,2,3,1,181.0,75.0,180–184,70–79,3.9,0,1
1,+0,2,2,0,178.0,82.0,175–179,80–89,6.0,0,1
2,+0,2,1,1,172.0,72.0,170–174,70–79,2.7,0,0
9,+6,0,2,1,185.0,93.0,185+,90–99,,1,1
9,+6,3,2,0,187.0,87.0,185+,80–89,7.2,1,1
